"V1" "V2" "V3" "V4" "V5"
"result.1" 12 15 27 27 15
"result.2" 27 27 27 12 24
"result.3" 15 15 15 15 27
"result.4" 15 15 15 15 27
"result.5" 6 15 6 15 14
"result.6" 10 15 27 27 15
"result.7" 27 15 15 27 15
"result.8" 15 27 15 27 4
"result.9" 27 15 27 27 6
"result.10" 10 15 15 15 27
"result.11" 6 15 15 15 15
"result.12" 27 27 27 27 4
"result.13" 15 15 15 15 15
"result.14" 12 15 6 12 15
"result.15" 27 27 27 27 15
"result.16" 15 15 15 15 14
"result.17" 15 15 15 15 14
"result.18" 15 15 15 15 15
"result.19" 15 15 15 15 27
"result.20" 25 6 15 15 14
"result.21" 15 15 15 15 15
"result.22" 27 27 27 27 15
"result.23" 27 27 27 15 15
"result.24" 27 27 27 27 27
"result.25" 15 15 15 15 6
"result.26" 15 15 15 15 24
"result.27" 15 15 15 15 15
"result.28" 15 15 15 15 15
"result.29" 21 27 27 27 27
"result.30" 27 15 27 15 21
"result.31" 27 12 12 27 10
"result.32" 27 27 27 27 10
"result.33" 15 15 21 27 24
"result.34" 15 27 15 15 10
"result.35" 17 25 17 25 27
"result.36" 15 27 27 27 24
"result.37" 15 15 15 15 21
"result.38" 15 15 15 27 21
"result.39" 12 15 12 12 15
"result.40" 15 15 15 15 15
"result.41" 27 15 27 27 15
"result.42" 6 15 15 27 14
"result.43" 15 15 15 6 27
"result.44" 15 27 27 27 24
"result.45" 27 15 15 15 27
"result.46" 15 15 15 15 15
"result.47" 15 15 15 15 10
"result.48" 27 27 27 27 12
"result.49" 27 15 15 15 27
"result.50" 15 15 15 15 24
"result.51" 27 27 15 27 15
"result.52" 21 27 27 21 6
"result.53" 27 27 15 27 14
"result.54" 15 27 27 15 27
"result.55" 15 27 27 15 27
"result.56" 15 15 15 15 15
"result.57" 15 15 15 15 4
"result.58" 17 27 17 24 12
"result.59" 6 15 15 15 15
"result.60" 15 15 15 15 15
"result.61" 15 27 27 25 14
"result.62" 15 15 15 15 15
"result.63" 15 27 27 27 12
"result.64" 15 15 15 15 10
"result.65" 15 15 27 27 24
"result.66" 27 27 27 27 15
"result.67" 27 27 27 27 6
"result.68" 15 15 15 15 6
"result.69" 6 15 15 15 15
"result.70" 15 27 15 15 10
"result.71" 15 27 27 27 14
"result.72" 21 27 27 27 24
"result.73" 27 27 27 27 15
"result.74" 15 15 15 15 27
"result.75" 27 27 27 27 10
"result.76" 12 27 12 12 21
"result.77" 15 15 15 15 15
"result.78" 27 27 15 15 10
"result.79" 27 27 27 27 12
"result.80" 15 15 15 15 27
"result.81" 15 15 12 25 24
"result.82" 17 15 17 17 21
"result.83" 15 15 15 15 21
"result.84" 27 15 15 15 14
"result.85" 27 15 15 15 15
"result.86" 27 15 15 27 15
"result.87" 27 15 27 15 15
"result.88" 27 27 27 27 6
"result.89" 15 15 15 15 15
"result.90" 15 15 12 15 4
"result.91" 12 15 15 15 15
"result.92" 27 27 27 27 10
"result.93" 12 10 10 12 24
"result.94" 27 15 15 15 15
"result.95" 27 15 15 15 14
"result.96" 27 27 27 27 14
"result.97" 15 15 15 15 27
"result.98" 21 17 17 27 12
"result.99" 27 15 15 15 14
"result.100" 27 15 15 27 24
