code,year,ind,Audit_firm,Auditor,Kam_num,Ind_spec,Length_1,Specificity1_1,Specificity2,Similarity,Big4,Big8,Audit_tenure,Audit_spec1,Gender,Auditor_tenure,Auditor_spec1,Partner,Ccp,Degree,Rep,Major,License,Roa,Bm,Quick,Leverage,Recvinv,Otherrec,Size,Growth,Loss,Age,Cfo,Audittype,Audit_spec2,Auditor_spec2,Length_2,Specificity1_2
4,2017,C27,大华,赵君,2,0,6.6320018,3.1780538,0.03162055,0.4165,0,1,3,1,0,6,0,0,0,0,0,0,1,0.021917,0.143048,1.85789,0.315247,0.0903663,0.03961739,20.020261,-0.49392922,0,25,0.05370947,0,0,0,5.9388546,2.4849066
6,2018,K70,天职国际,陈子涵,3,1,7.2868764,4.3174881,0.0513347,0.25506667,0,1,1,0,1,11,0,0,1,1,0,1,1,0.068194,1.93576,0.733976,0.528236,0.47613966,0.00579903,23.328672,-0.15124627,0,25,0.1186906,1,0,0,6.1882641,3.2188758
11,2018,K70,瑞华,王焕森,2,1,7.0343879,3.8286414,0.04052863,0.38486667,0,1,1,1,1,14,1,0,0,1,1,0,1,0.101828,1.13322,1.45584,0.425931,0.21408085,0.00419718,22.484601,-0.04043462,0,25,0.19305084,1,1,0,6.3412407,3.1354942
14,2017,K70,瑞华,马艳波,2,1,7.1284959,4.4188406,0.06655974,0.75766484,0,1,5,1,1,0,0,0,0,1,0,0,1,0.00719,0.702856,0.379517,0.476437,0.71442352,0.00723392,21.147407,-0.17336279,0,25,0.21659602,1,1,0,6.4353488,3.7256934
14,2018,K70,瑞华,马艳波,1,1,6.0958246,2.5649494,0.02927928,0.76431111,0,1,6,1,1,1,0,0,0,1,0,0,1,0.080596,1.02317,0.314122,0.504366,0.71442352,0.00607512,21.374157,-0.30247378,0,25,-0.06160915,1,1,0,6.0958246,2.5649494
16,2017,C39,瑞华,申玲芝,3,1,7.7052625,5.31812,0.09189189,0.4965386,0,1,5,1,1,2,1,0,0,1,0,1,1,0.204072,1.99796,0.94475,0.652011,0.34524177,0.00774257,23.882763,0.53836286,0,25,-0.15271617,1,0,1,6.6066502,4.2195077
16,2018,C39,瑞华,申玲芝,3,1,8.0023595,5.1873858,0.05990629,0.47377524,0,1,6,1,1,3,1,0,0,1,0,1,1,0.02027,4.88583,0.721283,0.713465,0.30152009,0.01245425,24.219321,0.47710859,0,25,-0.09791778,1,0,1,6.9037473,4.0887735
17,2017,C37,天职国际,张磊,2,1,6.9800759,4.5643482,0.08930233,0.407,0,1,2,0,0,8,0,0,1,1,0,0,1,0.021468,0.130807,1.15982,0.743597,0.43209579,0.00896829,20.020261,-0.03155531,0,25,-0.04665008,0,0,0,6.2869288,3.871201
18,2017,E50,立信,冯雪,2,2,6.8079349,4.3820266,0.08839779,0.646,0,1,3,0,1,12,0,1,0,1,0,0,1,0.032915,1.22253,1.17374,0.806291,0.53681845,0.14229943,23.180103,0.39273874,0,25,-0.15271617,1,0,0,6.1147878,3.6888795
19,2018,F51,大华,周灵芝,2,1,7.5657933,5.0238805,0.07871569,0.719,0,1,8,1,1,19,0,0,0,1,0,0,1,0.049599,0.805133,0.995997,0.329474,0.50787973,0.00522549,22.59028,2.0552244,0,25,0.0462368,1,0,0,6.8726461,4.3307333
20,2017,C39,大信,凡章,3,1,7.4199799,4.7095302,0.06650689,0.53177778,0,1,2,0,0,12,1,1,0,1,0,0,1,0.001547,0.206863,0.93105,0.490804,0.33216164,0.0068847,20.260854,0.38579586,0,25,0.01861535,1,0,0,6.3213676,3.6109179
20,2018,C39,大信,凡章,3,1,7.475906,4.7874917,0.06798867,0.53293333,0,1,3,0,0,13,1,1,0,1,0,0,1,0.00534,0.266868,0.877904,0.475007,0.29132169,0.00936197,20.240526,-0.25755605,0,25,-0.03548016,1,0,0,6.3772937,3.6888795
21,2017,C39,立信,何岚,1,0,6.4551986,4.3820266,0.12578616,0.727,0,1,2,1,1,13,1,0,0,0,1,0,1,0.034573,1.15956,0.919559,0.642835,0.19723743,0.00439864,23.532637,-0.05702981,0,23,0.04335511,1,1,1,6.4551986,4.3820266
21,2018,C39,立信,何岚,2,0,7.0766538,5.0814044,0.13597973,0.36359524,0,1,3,1,1,14,1,0,0,0,1,0,1,0.036383,1.83686,0.875781,0.589001,0.24049595,0.00956223,23.466643,0.13027841,0,24,0.02707769,1,1,1,6.3835066,4.3882572
23,2017,C30,大华,刘国平,2,0,6.946976,4.4773368,0.08461538,0.36433333,0,1,7,0,0,0,1,0,0,1,0,0,1,0.0147,0.6851,0.844604,0.754666,0.62324272,0.01049994,21.391925,0.21706469,0,24,0.12757521,1,0,1,6.2538288,3.7841896
23,2018,C30,大华,刘国平,2,1,7.2203738,4.3438054,0.05632772,0.736,0,1,8,0,0,1,1,0,0,1,0,0,1,0.015142,1.31578,0.860217,0.781529,0.61250051,0.01782821,21.565045,0.3108879,0,25,0.05198172,1,0,1,6.5272267,3.6506582
25,2017,F51,瑞华,蔡晓东,2,1,6.9479371,4.0253517,0.05379443,0.36766667,0,1,5,0,0,23,0,1,0,1,0,0,1,0.046876,0.131771,1.27824,0.28881,0.0405194,0.01056012,21.062103,0.07092397,0,24,-0.00149152,1,0,0,6.2547899,3.3322045
25,2018,F51,瑞华,周学春,2,1,7.0343879,3.912023,0.04405286,0.39333333,0,1,6,0,0,18,0,0,0,1,0,0,1,0.051945,0.225814,1.34508,0.337101,0.05936669,0.00873379,21.229056,0.19295592,0,25,-0.0039649,1,0,0,6.3412407,3.2188758
26,2017,F52,瑞华,刘昕,2,1,6.8575141,4.6634391,0.11146162,0.6925,0,1,3,0,0,0,0,0,0,1,0,0,1,0.039839,0.792054,0.591956,0.310582,0.59969481,0.00977447,21.99857,0.11755547,0,24,0.15781781,1,0,0,6.1643669,3.9702919
26,2018,F52,瑞华,刘昕,2,1,7.0039741,4.7004804,0.09990917,0.33216667,0,1,4,0,0,1,0,0,0,1,0,0,1,0.05107,1.22222,0.661535,0.286011,0.59806566,0.01274292,22.004114,0.01633114,0,25,0.09212672,1,0,0,6.310827,4.0073332
28,2017,F51,安永华明,鄢萍,2,0,6.81564,4.9836066,0.16008772,0.744,1,0,2,0,1,7,1,0,1,1,0,1,1,0.05177,0.921578,1.19857,0.55569,0.50892644,0.02944332,23.829808,0.00036849,0,24,0.05752383,1,0,1,6.1224928,4.2904594
28,2018,F51,安永华明,鄢萍,2,0,7.1491316,4.1896547,0.05184603,0.8075,1,0,3,0,1,8,1,0,1,1,0,1,1,0.04661,1.72985,1.3624,0.519335,0.47445748,0.02224289,24.088155,0.04504588,0,25,0.04571699,1,0,1,6.4559844,3.4965076
30,2018,C36,信永中和,杨志存,2,0,6.652863,4.6913479,0.14064516,0.3575,0,1,1,0,1,8,0,0,0,0,0,1,1,0.074787,1.75077,1.38729,0.389844,0.20756149,0.03342508,23.181326,0.09165149,0,25,0.02928281,1,0,0,5.9597158,3.9982007
31,2018,K70,瑞华,马海霞,2,2,7.0308575,3.8501476,0.04155615,0.73399365,0,1,6,1,1,9,1,0,0,1,0,0,1,0.021984,7.16021,0.836536,0.849079,0.47257244,0.14229943,25.236013,0.00549902,0,25,-0.02044339,1,1,0,6.3377103,3.1570004
32,2017,F51,信永中和,张永德,2,1,6.7821921,4.3944492,0.09183673,0.3495,0,1,6,1,0,11,0,0,0,0,0,1,1,0.00678,0.453718,3.79104,0.186046,0.14839345,0.03134708,21.379406,-0.13397069,0,24,0.06941819,1,0,0,6.0890449,3.701302
32,2018,F51,立信,顾欣,1,1,6.7968237,3.871201,0.05363128,0.733,0,1,4,1,0,3,0,0,0,1,0,0,1,0.051905,0.74234,2.16237,0.295935,0.20739472,0.023324,21.490305,-0.06995166,0,25,0.09570753,1,1,0,6.7968237,3.871201
34,2018,F51,信永中和,唐静,2,0,6.9047508,4.3307333,0.07622869,0.362,0,1,3,1,1,5,1,0,1,1,0,1,1,0.019858,2.95382,0.678673,0.851975,0.58154589,0.00845827,23.980803,0.31570849,0,24,0.01387467,1,0,1,6.2116036,3.6375862
35,2018,N77,立信,严盛辉,2,1,7.1499168,4.060443,0.0455259,0.3565,0,1,5,1,1,4,1,0,1,1,0,0,1,0.025236,1.25342,0.402045,0.626002,0.06493441,0.00312179,22.89903,0.14584121,0,24,0.02381527,1,1,1,6.4567697,3.3672958
36,2017,K70,大华,梁粱,2,1,7.1024994,4.4188406,0.06831276,0.77684722,0,1,7,0,1,1,0,0,0,1,0,0,1,0.157407,0.844909,0.661017,0.417036,0.53364905,0.00434038,22.888732,0.82882851,0,23,-0.02872473,1,0,0,6.4093522,3.7256934
36,2018,K70,大华,李秉心,2,2,7.0925737,4.3694479,0.06566916,0.75064286,0,1,8,0,0,23,0,1,1,1,1,0,0,0.09466,1.73191,1.2566,0.500599,0.308876,0.00344999,23.11139,-0.16042682,0,24,0.21659602,1,0,0,6.3994265,3.6763007
37,2017,D44,瑞华,韩松亮,2,0,7.0466473,4.6913479,0.0948651,0.74088333,0,1,5,1,0,2,1,0,0,1,0,0,1,0.000131,0.891807,1.52775,0.298029,0.06629599,0.0134447,21.782376,0.29965133,0,23,0.06824314,1,1,0,6.3535001,3.9982007
37,2018,D44,瑞华,黄少琴,2,0,7.1514855,4.4773368,0.06896552,0.7307,0,1,6,1,1,3,0,0,0,1,0,0,1,0.003765,1.47659,1.35032,0.384122,0.07776741,0.01213532,21.919352,-0.07861586,0,24,0.07153086,1,1,0,6.4583383,3.7841896
38,2017,L72,中汇,章归鸿,3,1,7.4360278,5.0751738,0.09433962,0.257,0,0,2,0,0,17,1,1,0,1,0,0,1,0.06209,0.531579,9.29261,0.06498,0.11775356,0.02979187,22.476272,0.46752035,0,23,-0.01280564,1,0,0,6.3374155,3.9765615
39,2018,C33,普华永道中天,蔡智锋,4,0,8.4772042,6.2304814,0.10574521,0.17575,1,0,7,1,0,14,1,1,1,1,1,0,1,0.025606,5.03097,0.753146,0.670181,0.28468092,0.07097092,25.79144,0.22539591,0,24,0.00088575,1,1,1,7.0909098,4.8441871
