"Kam_num","Ind_spec","Length_1","Specificity1_1","Specificity2","Similarity","Big4","Big8","Audit_tenure","Audit_spec1","Gender","Auditor_tenure","Auditor_spec1","Partner","Ccp","Degree","Rep","Major","License","Roa","Bm","Quick","Leverage","Recvinv","Otherrec","Size","Growth","Loss","Age","Cfo","Audittype"
3,1,7.2868764,4.3174881,0.0513347,0.25506667,0,1,1,0,1,11,0,0,1,1,0,1,1,0.068194,1.93576,0.733976,0.528236,0.47613966,0.00579903,23.328672,-0.15124627,0,25,0.1186906,1
2,1,7.0343879,3.8286414,0.04052863,0.38486667,0,1,1,1,1,14,1,0,0,1,1,0,1,0.101828,1.13322,1.45584,0.425931,0.21408085,0.00419718,22.484601,-0.04043462,0,25,0.19305084,1
1,1,6.0958246,2.5649494,0.02927928,0.76431111,0,1,6,1,1,1,0,0,0,1,0,0,1,0.080596,1.02317,0.314122,0.504366,0.71442352,0.00607512,21.374157,-0.30247378,0,25,-0.06160915,1
3,1,8.0023595,5.1873858,0.05990629,0.47377524,0,1,6,1,1,3,1,0,0,1,0,1,1,0.02027,4.88583,0.721283,0.713465,0.30152009,0.01245425,24.219321,0.47710859,0,25,-0.09791778,1
2,1,7.5657933,5.0238805,0.07871569,0.719,0,1,8,1,1,19,0,0,0,1,0,0,1,0.049599,0.805133,0.995997,0.329474,0.50787973,0.00522549,22.59028,2.0552244,0,25,0.0462368,1
3,1,7.475906,4.7874917,0.06798867,0.53293333,0,1,3,0,0,13,1,1,0,1,0,0,1,0.00534,0.266868,0.877904,0.475007,0.29132169,0.00936197,20.240526,-0.25755605,0,25,-0.03548016,1
2,0,7.0766538,5.0814044,0.13597973,0.36359524,0,1,3,1,1,14,1,0,0,0,1,0,1,0.036383,1.83686,0.875781,0.589001,0.24049595,0.00956223,23.466643,0.13027841,0,24,0.02707769,1
2,1,7.2203738,4.3438054,0.05632772,0.736,0,1,8,0,0,1,1,0,0,1,0,0,1,0.015142,1.31578,0.860217,0.781529,0.61250051,0.01782821,21.565045,0.3108879,0,25,0.05198172,1
2,1,7.0343879,3.912023,0.04405286,0.39333333,0,1,6,0,0,18,0,0,0,1,0,0,1,0.051945,0.225814,1.34508,0.337101,0.05936669,0.00873379,21.229056,0.19295592,0,25,-0.0039649,1
2,1,7.0039741,4.7004804,0.09990917,0.33216667,0,1,4,0,0,1,0,0,0,1,0,0,1,0.05107,1.22222,0.661535,0.286011,0.59806566,0.01274292,22.004114,0.01633114,0,25,0.09212672,1
2,0,7.1491316,4.1896547,0.05184603,0.8075,1,0,3,0,1,8,1,0,1,1,0,1,1,0.04661,1.72985,1.3624,0.519335,0.47445748,0.02224289,24.088155,0.04504588,0,25,0.04571699,1
2,0,6.652863,4.6913479,0.14064516,0.3575,0,1,1,0,1,8,0,0,0,0,0,1,1,0.074787,1.75077,1.38729,0.389844,0.20756149,0.03342508,23.181326,0.09165149,0,25,0.02928281,1
2,2,7.0308575,3.8501476,0.04155615,0.73399365,0,1,6,1,1,9,1,0,0,1,0,0,1,0.021984,7.16021,0.836536,0.849079,0.47257244,0.14229943,25.236013,0.00549902,0,25,-0.02044339,1
1,1,6.7968237,3.871201,0.05363128,0.733,0,1,4,1,0,3,0,0,0,1,0,0,1,0.051905,0.74234,2.16237,0.295935,0.20739472,0.023324,21.490305,-0.06995166,0,25,0.09570753,1
2,0,6.9047508,4.3307333,0.07622869,0.362,0,1,3,1,1,5,1,0,1,1,0,1,1,0.019858,2.95382,0.678673,0.851975,0.58154589,0.00845827,23.980803,0.31570849,0,24,0.01387467,1
2,1,7.1499168,4.060443,0.0455259,0.3565,0,1,5,1,1,4,1,0,1,1,0,0,1,0.025236,1.25342,0.402045,0.626002,0.06493441,0.00312179,22.89903,0.14584121,0,24,0.02381527,1
2,2,7.0925737,4.3694479,0.06566916,0.75064286,0,1,8,0,0,23,0,1,1,1,1,0,0,0.09466,1.73191,1.2566,0.500599,0.308876,0.00344999,23.11139,-0.16042682,0,24,0.21659602,1
2,0,7.1514855,4.4773368,0.06896552,0.7307,0,1,6,1,1,3,0,0,0,1,0,0,1,0.003765,1.47659,1.35032,0.384122,0.07776741,0.01213532,21.919352,-0.07861586,0,24,0.07153086,1
4,0,8.4772042,6.2304814,0.10574521,0.17575,1,0,7,1,0,14,1,1,1,1,1,0,1,0.025606,5.03097,0.753146,0.670181,0.28468092,0.07097092,25.79144,0.22539591,0,24,0.00088575,1
3,0,7.695758,5.1929569,0.08185539,0.279,0,0,3,0,1,5,0,0,0,0,0,0,1,0.032723,3.20211,1.33538,0.576703,0.19587505,0.02960838,24.261992,0.0670597,0,24,-0.11135733,1
3,2,7.3938783,4.8520303,0.07872079,0.5754,1,0,2,1,1,2,0,0,1,1,0,0,1,0.009011,6.17351,0.522228,0.833525,0.56242551,0.00906962,24.553009,-0.0822859,0,24,0.06517997,1
3,1,7.4223737,4.9416424,0.08368201,0.28064444,0,1,2,0,1,9,1,0,1,1,1,1,1,0.062255,2.65303,0.995945,0.630899,0.18014352,0.03229333,23.306179,0.12932098,0,24,0.09678874,1
2,1,6.4199949,3.3672958,0.04723127,0.70525,0,0,8,0,0,2,0,0,0,0,0,0,1,-0.013488,1.62973,2.50044,0.251066,0.2096047,0.00321417,22.253488,-0.13770427,1,24,-0.09969128,1
5,1,7.9848034,4.9628446,0.04870572,0.42924476,0,1,8,1,0,8,1,0,1,1,0,1,1,0.004871,7.16021,0.521112,0.865957,0.44283513,0.00736618,26.08031,-0.40281154,0,24,0.04340725,1
2,2,7.6138187,5.241747,0.09328727,0.75551364,0,1,8,1,0,2,0,0,0,1,0,0,1,0.05958,1.49872,0.807055,0.743297,0.71442352,0.02058034,22.900517,0.38148867,0,23,0.01384812,1
3,0,7.4366173,5.2781147,0.11549794,0.52822857,0,1,2,0,1,2,1,0,1,1,0,0,1,0.016388,2.98809,0.601555,0.566855,0.15146389,0.0010077,24.818227,1.063268,0,23,0.05938367,1
